avg_travel_time,GEOID
37.83,06037408628
36.72,06037408629
37.73,06037408631
40.84,06037408703
36.3,06037408705
38.54,06037408707
41.79,06037408722
30.96,06037408724
38.7,06037408725
30.61,06037408800
35.2,06037408900
39.53,06037409000
39.22,06037409100
31.93,06037430003
36.06,06037430004
33.61,06037430005
36.16,06037430101
30.75,06037430102
38.66,06037430200
33.65,06037430301
34.91,06037430302
33.96,06037430400
33.76,06037430501
31.87,06037430502
30.99,06037430600
29.47,06037430701
35.17,06037430721
29.36,06037430723
36.96,06037430724
32.54,06037430801
34.71,06037430802
33.43,06037430803
31.73,06037430901
32.5,06037430902
32.84,06037431002
36.27,06037431003
33.02,06037431004
32.27,06037431100
30.14,06037431200
37.65,06037431300
35.14,06037431400
36.3,06037431501
30.37,06037431502
32.34,06037431600
31.87,06037431701
30.33,06037431800
32.8,06037431900
33.4,06037432001
36.71,06037432002
33.6,06037432101
35.61,06037432102
27.43,06037432201
29.02,06037432202
28.56,06037432300
31.82,06037432401
31.2,06037432402
30.71,06037432501
32.67,06037432502
31.95,06037432601
33.66,06037432602
32.87,06037432700
32.76,06037432801
39.85,06037432802
29.35,06037432901
31.58,06037432902
33.63,06037433103
31.48,06037433200
36.61,06037433302
28.58,06037433304
26.82,06037433305
36.25,06037433306
33.56,06037433307
24.26,06037433402
24.59,06037433403
30.04,06037433505
29.18,06037433506
28.96,06037433601
33.9,06037433602
29.08,06037433803
27.14,06037433804
31.11,06037433901
34.14,06037433903
35.76,06037434001
32.01,06037434003
33.17,06037434004
31.51,06037434100
32.42,06037460001
34.78,06037460002
29.31,06037460101
29.61,06037460200
34.94,06037460301
34.69,06037460302
35.88,06037460401
35.06,06037460501
27.67,06037460502
30.25,06037460601
30.12,06037460700
34.33,06037460800
26.19,06037460900
29.06,06037461000
26.5,06037461100
29.65,06037461200
26.25,06037461300
31.76,06037461400
39.04,06037461501
30.14,06037461502
25.37,06037461600
27.0,06037461700
33.56,06037461901
33.43,06037461902
41.01,06037462001
33.51,06037462002
31.12,06037462100
26.79,06037462201
28.6,06037462202
27.93,06037462301
28.83,06037462302
30.7,06037462400
29.77,06037462500
33.24,06037462600
26.81,06037462700
28.15,06037462800
23.97,06037462900
30.47,06037463000
29.68,06037463103
28.06,06037463200
33.44,06037463300
35.51,06037463400
26.65,06037463500
24.77,06037463601
27.45,06037463602
30.81,06037463700
28.82,06037463800
25.69,06037463900
33.24,06037464000
27.3,06037464101
