co2_metric_tons_per_household,GEOID
4.479,06037404902
4.511,06037404903
4.574,06037405001
4.543,06037405002
4.153,06037405101
3.608,06037405102
4.003,06037405201
4.192,06037405202
4.481,06037405203
4.023,06037405301
4.404,06037405302
4.589,06037405400
4.05,06037405500
4.392,06037405600
4.256,06037405701
4.123,06037405702
4.26,06037405800
4.039,06037405900
4.036,06037406000
3.882,06037406101
3.657,06037406102
3.185,06037406200
4.436,06037406402
4.213,06037406411
4.16,06037406412
4.189,06037406500
4.364,06037406601
4.396,06037406602
4.236,06037406701
4.121,06037406702
3.99,06037406800
3.8,06037406901
4.022,06037406902
4.493,06037407001
4.262,06037407002
4.427,06037407101
4.582,06037407102
4.138,06037407200
4.376,06037407301
4.396,06037407302
4.369,06037407400
4.455,06037407501
4.32,06037407502
4.079,06037407601
4.272,06037407602
3.902,06037407701
4.491,06037407702
4.675,06037407801
4.742,06037407900
4.173,06037408003
4.024,06037408004
4.096,06037408005
4.099,06037408133
4.533,06037408134
4.39,06037408135
4.146,06037408136
3.684,06037408137
4.127,06037408138
4.147,06037408139
4.341,06037408140
4.503,06037408141
4.154,06037408212
4.357,06037408301
4.515,06037408302
4.166,06037408303
3.985,06037408401
4.092,06037408501
4.349,06037408503
4.001,06037408504
4.488,06037408505
3.759,06037408623
4.506,06037408624
4.25,06037408625
3.981,06037408626
3.803,06037408628
3.963,06037408629
4.538,06037408630
4.536,06037408631
3.025,06037408704
4.05,06037408705
4.517,06037408706
4.416,06037408722
4.291,06037408723
3.687,06037408724
2.819,06037408800
3.566,06037430002
3.007,06037430101
4.386,06037430102
3.748,06037430302
4.493,06037430400
3.803,06037430502
3.903,06037430701
3.874,06037430723
3.444,06037430724
4.105,06037430801
4.153,06037430802
4.066,06037430803
3.576,06037430901
4.032,06037430902
3.763,06037431001
3.221,06037431002
3.918,06037431100
4.297,06037431200
4.451,06037431300
3.793,06037431400
3.075,06037431501
4.051,06037431502
4.002,06037431600
4.207,06037431700
3.7,06037431800
3.556,06037431900
3.72,06037432000
4.302,06037432101
4.197,06037432102
3.198,06037432201
3.747,06037432202
3.846,06037432300
3.688,06037432401
3.635,06037432402
4.006,06037432500
3.902,06037432601
4.27,06037432602
3.74,06037432700
2.269,06037432801
3.379,06037432802
3.738,06037432901
4.086,06037432902
3.635,06037433101
4.018,06037433102
3.509,06037433200
3.37,06037433302
3.224,06037433304
3.873,06037433305
4.064,06037433306
3.942,06037433307
3.92,06037433401
3.428,06037433402
3.314,06037433403
3.023,06037433501
3.826,06037433503
3.646,06037433504
3.77,06037433601
3.251,06037433602
4.225,06037433700
4.041,06037433801
3.619,06037433901
3.603,06037433902
4.152,06037434001
3.509,06037434003
3.985,06037434004
3.954,06037460200
4.15,06037460302
4.817,06037460502
4.14,06037460900
3.943,06037461000
