B25018_001E,geoid
4.7,06037404201
5.2,06037404203
4.3,06037404301
5.2,06037404302
4.3,06037404401
5.7,06037404402
4.3,06037404501
5.6,06037404503
3.8,06037404504
5.7,06037404600
4.9,06037404701
4.9,06037404702
4.4,06037404703
5.2,06037404804
4.5,06037404805
4.8,06037404806
5.1,06037404901
5.2,06037404902
5.2,06037404903
5.2,06037405001
4.9,06037405002
5.0,06037405101
4.2,06037405102
4.7,06037405201
4.8,06037405202
5.6,06037405203
4.3,06037405301
5.4,06037405302
5.3,06037405400
5.5,06037405500
5.6,06037405600
5.0,06037405701
5.2,06037405702
5.3,06037405800
5.5,06037405900
5.4,06037406000
5.0,06037406101
4.1,06037406103
3.8,06037406201
6.7,06037406300
6.1,06037406413
5.0,06037406500
6.0,06037406601
5.3,06037406602
5.6,06037406701
4.3,06037406702
5.6,06037406801
5.2,06037406903
5.6,06037407001
5.8,06037407002
4.8,06037407101
5.6,06037407102
5.5,06037407201
5.3,06037407202
5.5,06037407301
5.5,06037407302
5.7,06037407400
5.2,06037407501
5.5,06037407502
4.4,06037407601
5.3,06037407602
5.0,06037407701
5.5,06037407702
5.8,06037407801
5.8,06037407802
6.0,06037407901
5.9,06037407902
6.2,06037408003
4.5,06037408004
6.6,06037408005
5.3,06037408006
4.5,06037408133
5.7,06037408134
5.5,06037408135
5.9,06037408136
4.5,06037408137
5.5,06037408138
5.6,06037408139
5.5,06037408140
5.8,06037408141
5.8,06037408212
4.7,06037408213
5.1,06037408301
5.8,06037408302
6.3,06037408303
5.3,06037408401
6.2,06037408402
6.8,06037408503
5.4,06037408504
6.0,06037408505
5.6,06037408623
5.9,06037408624
6.4,06037408625
5.7,06037408626
6.4,06037408627
5.0,06037408628
6.1,06037408629
6.0,06037408631
7.2,06037408703
5.3,06037408705
6.7,06037408707
5.4,06037408722
3.7,06037408724
5.1,06037408725
3.1,06037408800
5.6,06037408900
4.3,06037409000
5.9,06037409100
6.2,06037430003
5.1,06037430004
6.0,06037430005
3.9,06037430101
5.2,06037430102
6.0,06037430200
6.1,06037430301
5.4,06037430302
6.6,06037430400
5.9,06037430501
5.0,06037430502
7.4,06037430600
5.9,06037430701
4.9,06037430721
4.3,06037430723
3.9,06037430724
4.6,06037430801
6.4,06037430802
6.3,06037430803
4.3,06037430901
4.5,06037430902
5.1,06037431002
4.7,06037431003
4.4,06037431004
4.4,06037431100
4.9,06037431200
5.6,06037431300
5.5,06037431400
4.9,06037431501
5.5,06037431502
6.1,06037431600
6.6,06037431701
4.9,06037431800
4.5,06037431900
5.8,06037432001
5.6,06037432002
5.7,06037432101
6.0,06037432102
5.4,06037432201
5.1,06037432202
5.2,06037432300
4.6,06037432401
4.2,06037432402
4.7,06037432501
5.3,06037432502
4.9,06037432601
5.4,06037432602
4.4,06037432700
3.4,06037432801
4.1,06037432802
4.5,06037432901
5.2,06037432902
4.3,06037433103
4.4,06037433200
3.8,06037433302
4.1,06037433304
4.0,06037433305
5.0,06037433306
4.7,06037433307
4.3,06037433402
3.4,06037433403
4.3,06037433505
3.8,06037433506
4.5,06037433601
4.2,06037433602
5.2,06037433803
4.4,06037433804
4.2,06037433901
4.3,06037433903
5.3,06037434001
4.3,06037434003
4.5,06037434004
4.5,06037434100
7.7,06037460001
6.1,06037460002
6.9,06037460101
6.4,06037460200
5.9,06037460301
5.1,06037460302
5.4,06037460401
7.6,06037460501
6.9,06037460502
6.3,06037460601
7.9,06037460700
6.6,06037460800
4.9,06037460900
5.5,06037461000
5.7,06037461100
6.2,06037461200
5.0,06037461300
4.2,06037461400
4.8,06037461501
4.4,06037461502
4.8,06037461600
5.9,06037461700
3.7,06037461901
2.7,06037461902
4.0,06037462001
3.9,06037462002
4.5,06037462100
3.1,06037462201
3.2,06037462202
3.8,06037462301
3.7,06037462302
5.0,06037462400
5.8,06037462500
6.3,06037462600
4.1,06037462700
4.3,06037462800
5.3,06037462900
4.8,06037463000
5.6,06037463103
5.4,06037463200
5.5,06037463300
4.2,06037463400
3.9,06037463500
3.7,06037463601
3.2,06037463602
4.1,06037463700
6.9,06037463800
5.1,06037463900
4.9,06037464000
8.1,06037464101
8.2,06037464102
6.9,06037464200
6.0,06037480002
4.3,06037480011
4.9,06037480012
5.4,06037480101
5.2,06037480102
6.2,06037480201
5.7,06037480202
4.2,06037480302
4.0,06037480303
3.8,06037480304
4.5,06037480400
6.6,06037480500
4.0,06037480601
4.4,06037480602
5.5,06037480702
5.1,06037480703
4.0,06037480704
4.4,06037480802
5.5,06037480803
4.1,06037480804
3.9,06037480901
4.0,06037480902
4.1,06037480903
4.0,06037481001
4.1,06037481002
3.9,06037481101
4.0,06037481102
4.8,06037481103
4.6,06037481201
4.7,06037481203
5.3,06037481300
4.5,06037481401
4.5,06037481403
5.0,06037481404
5.0,06037481500
4.3,06037481603
4.2,06037481604
4.2,06037481605
4.1,06037481606
3.8,06037481711
3.9,06037481712
